Symbol	Description
AAALY.OB	Aareal Bank Ag
AABB.OB	Asia Broadband Inc
AABVF.OB	Aberdeen Intl Inc
AACAF.OB	Aac Tech Holdings
AACAY.OB	Aac Acoustic Tec ADR
AACS.OB	American Comm Solut
AACTF.OB	Act Aurora Ctl Tech
AAEEF.OB	Altair Res Inc
AAGC.OB	All American Gld Crp
AAGEF.OB	Aag Energy Holdings Ltd
AAGFF.OB	Aftermath Silver Ltd
AAGH.OB	America Great Health
AAGIY.OB	Aia Group Ltd
AAGRY.OB	Astra Agro Lestari Tbk
AAIGF.OB	Aia Group Ltd
AAIIQ.OB	Alabama Aircraft Industries Inc
AAIRF.OB	American Aires Inc
AALBF.OB	Aalberts NV
AAMAF.OB	Atlas Mara
AAMMF.OB	Almadex Minerals Ltd
AAMTF.OB	Armada Mercantile Ltd
AAPJ.OB	Aap Inc
AAPT.OB	All American Pet Company Inc
AASL.OB	America's Suppliers Inc
AASP.OB	All-Amer Sportpark
AASZF.OB	Atlantic Sapphire As
AATDF.OB	Aa Plc
AATGF.OB	Ati Airtest Techs Inc
AATRL.OB	Amg Cap TR II
AATV.OB	Adaptive Ad Systems Inc
AAUKF.OB	Anglo American Ord
AAVMY.OB	Abn Amro Bank N.V. ADR
AAVVF.OB	Advantage Oil & Gas Ltd
AAVXF.OB	Abivax S.A.
AAWCD.OB	Canning Str Corp
AAXT.OB	Aamaxan Transport Grp Inc
AAZZF.OB	A2Z Technologies Cda Corp
ABAKF.OB	Aberdeen Asia-Pacific Income Investment CO Ltd
ABANF.OB	Automatic Bank Services Ltd
ABBRF.OB	Abraplata Resource Corp
ABBY.OB	Abby Inc
ABCAF.OB	Athabasca Minerals
ABCED.OB	Abco Energy Inc
ABCFF.OB	Abacus Mng & Expl Cp
ABCP.OB	Ambase Corp
ABCZF.OB	Abcam Plc
ABDR.OB	Ambassador Food Svcs Corp
ABEPF.OB	Abe Resources Inc
ABETF.OB	Volt Energy Corp Cl A
ABILF.OB	Ability Inc
ABKB.OB	American Basketball
ABLE.OB	Able Energy Inc
ABLT.OB	Amer Biltrite Inc
ABLZF.OB	Abb Ltd Zuerich
ABMBF.OB	Abcourt Mines Inc Cl
ABMC.OB	Amer Bio Medica
ABML.OB	American Battery Metals Corp
ABMRF.OB	Abn Amro Group NV Dep Receipts
ABMT.OB	Advanced Biomedical
ABNAF.OB	Aben Resources Ltd
ABPR.OB	Airborne Security and Protective Services Inc
ABQQ.OB	Ab International Group Corp
ABSCF.OB	Ab Science Paris Ord
ABSOF.OB	Abs-Cbn Holdings Corp
ABSSF.OB	Airboss of America Corp
ABTI.OB	Alterola Biotech Inc
ABTO.OB	AB&T Financial Corp
ABVC.OB	American Brivision Corp
ABVG.OB	Affinity Beverage Group Inc
ABVN.OB	Abv Consulting Inc
ABWN.OB	Airborne Wireless Network
ABXXF.OB	Abaxx Technologies Inc
ABZPY.OB	Aboitiz Power Corp ADR
ABZT.OB	Ablaze Technologies Inc
ACAI.OB	Safeplus Int. Hldg Ltd
ACAN.OB	Americann Inc
ACAZF.OB	Acadian Timber
ACBCQ.OB	Albina Commty Bcp OR
ACBD.OB	Annabidiol Corp
ACBM.OB	Acro Biomedical CO Ltd
ACCA.OB	Acacia Diversified
ACCFF.OB	Accord Financial Corp
ACCMF.OB	Aac Clyde Space Ab [Publ]
ACCR.OB	Access Power Inc
ACCYY.OB	Accor S.A.
ACDSF.OB	Ascendas R E Inv TR
ACDVF.OB	Air Canada
ACEZ.OB	Ariel Clean Energy Inc
ACEZD.OB	Qiansui Intl Group CO Ltd
ACFL.OB	Amc Financial Holdings Inc
ACFN.OB	Acorn Energy
ACGBF.OB	Agricultural Bank
ACGBY.OB	Agricultural Bk Chin
ACGI.OB	Amacore Group Cl A
ACGPF.OB	Accell Group NV Ord
ACGX.OB	Alliance Creative Group Inc
ACGYF.OB	Subsea 7 Sa Ord
ACHFF.OB	Arch Biopartners Inc
ACKAY.OB	Arcelik A S ADR
ACKDF.OB	Auckland Intl Ltd NZ
ACKRF.OB	American Creek Resources Ltd
ACLLF.OB	Atco Ltd Cl I NV CD
ACMB.OB	Agro Capital Management Corp
ACMC.OB	American Church Mort
ACMDY.OB	Atlas Consolidated Mining & Development Corp
ACNDF.OB	Ascendas India TR
ACNE.OB	Alice Consol Mines Inc
ACNI.OB	American Community Newspapers Inc
ACNNF.OB	Auscann Group Holdings Ltd
ACNV.OB	Accelera Innovations Inc
ACOPF.OB	A2 Corp
ACOPY.OB	A2 Milk CO Ltd ADR
ACPGF.OB	Acacia Pharma Group Plc
ACPRF.OB	Arcpacific Res Corp
ACRB.OB	Asia Carbon Industri
ACRDF.OB	Acreage Holdings
ACRFF.OB	Accor S.A.
ACRHF.OB	Acreage Holdings
ACRL.OB	Atacama Resources International Inc
ACSAF.OB	Acs Actividades DE C
ACSAY.OB	Acs Actividades ADR
ACSSF.OB	Acasta Enterprises Inc
ACTL.OB	Artec Consulting
ACTX.OB	Advanced Container Tech Inc
ACUIF.OB	Acuityads Holdings
ACUR.OB	Acura Pharma Cmn
ACUS.OB	Acusphere Inc
ACWEF.OB	SSGA SPDR ETFS Europe I Plc
ACWRF.OB	Acceleware Ltd
ACXIF.OB	Acciona S.A.
ADAD.OB	Adaiah Distribution Inc
ADBKF.OB	Addiko Bk Ag
ADBN.OB	Americana Distribution Inc
ADBRF.OB	Aldebaran Resources Inc
ADCOF.OB	Adcore Inc
ADCV.OB	Ad Capital U.S. Inc
ADDDF.OB	Adidas Ag
ADDYY.OB	Adidas Ag ADR
ADFJF.OB	Adf Group
ADFS.OB	American Defense Systems Inc
ADFT.OB	Adfitech Inc
ADGCF.OB	Advance Gold Corp
ADGO.OB	Advantego Corp
ADGS.OB	Adgs Advisory Inc
ADHC.OB	American Diversified
ADIA.OB	Adia Nutrition Inc
ADIWW.OB	Adial Pharmaceuticals Inc
ADKT.OB	Adirondack TR CO
ADLI.OB	Amer Medical Tech
ADMG.OB	Adamant Dri Processi
ADMLF.OB	Admiral Plc
ADMQ.OB	Adm Endeavors Inc
ADMT.OB	Adm Tronics Unlimited Inc
ADNY.OB	Adino Energy Corp
ADOCY.OB	Adocia Act
ADOM.OB	Adomani Inc
ADOOY.OB	Pt Adaro Energy Tbk ADR
ADPXY.OB	Audio Pixels Hl ADR
ADRNY.OB	Koninklijke Ahold
ADRZF.OB	Andritz Ag
ADRZY.OB	Andritz Ag ADR
ADST.OB	Adstar Inc
ADSV.OB	Allied Security Inno
ADTC.OB	Advanced Dep Tech
ADTFF.OB	Imetal Resources Inc
ADTM.OB	Adaptive Medias Inc
ADTR.OB	Alliance Distributors Holding Inc
ADTY.OB	Adtegrity.com International
ADVC.OB	Advant-E Corp
ADVOF.OB	Adva Optical Ntwkng
ADVT.OB	Advantis Corp
ADVZF.OB	Adventus Mining Corp
ADWPF.OB	Andrew Peller Ltd
ADXDF.OB	Adex Mining Inc
ADXRF.OB	Adx Energy Ltd
ADYEY.OB	Adyen NV ADR
ADYX.OB	Adynxx Inc
ADYYF.OB	Adyen NV
ADZZF.OB	Advance Residence Investment Corp
AEBZY.OB	Anadolu Efes Birck
AEDC.OB	American Energy Dev Corp
AEEI.OB	American Environment
AEEX.OB	Asia Equity Exchange Group Inc
AEGG.OB	American Energy
AEGOF.OB	Aegon NV Ord Shs
AEGXF.OB	Aecon Group Inc
AEGY.OB	Alternative Energy
AELTF.OB	Adacel Techs Ltd
AEMC.OB	Archer Entmt Mda Cmns
AENG.OB	Advanced Engine Technologies Inc
AEOMF.OB	Aeon Metals Ltd
AEOXF.OB	Aeroports DE Paris Sa
AEPT.OB	American Energy Partners Inc
AERG.OB	Applied Energetics Inc
AERN.OB	Aer Energy Resources
AERO.OB	Aerogrow Intl Inc
AERS.OB	Aerius Cmn Stk
AESEW.OB	Allied Esports Entertainment Inc WT
AESO.OB	Atlantic Energy Sltns Inc
AETUF.OB	Arc Energy Trust Uni
AEXAF.OB	Atos Origin Sa Ord
AEXAY.OB	Atos ADR
AEXE.OB	Aim Exploration Inc
AEXFF.OB	Aminex Plc
AFAP.OB	Afa Protective Systems
AFBA.OB	Allied First Bncp MD
AFBG.OB	American Fiber Green Products Inc
AFCJF.OB	Afc Ajax NV
AFDG.OB	African Discovery Group Inc
AFFS.OB	Amtrust Financial Services Inc 7.25% Subordinat
AFFT.OB	Amtrust Financial Services Inc 7.50% Subordinat
AFFU.OB	Affluence Corp
AFFY.OB	Affymax
AFGYF.OB	Afc Energy Plc
AFHBL.OB	Atlas Financial Holdings Inc 6.625% Senior Uns
AFHIF.OB	Atlas Financial Hlds
AFIPA.OB	Amfi Corp
AFLYY.OB	Air France Ads
AFMJF.OB	Alphamin Resources
AFML.OB	Aerofoam Metals Inc
AFNL.OB	Amtrust Financial CO
AFOM.OB	All For One Media Corp
AFOVF.OB	Australian Foundation Investment CO
AFPW.OB	Alumifuel Pwr Corp
AFRAF.OB	Air France Klm
AFRMF.OB	Alphaform Ag
AFSIA.OB	Amtrust Financial Services Inc Pfd. A
AFSIB.OB	Amtrust Financial Services Dep Pfd
AFSIC.OB	Amtrust Financial Services Inc Pfd. C
AFSIM.OB	Amtrust Financial Services Inc Prf
AFSIN.OB	Amtrust Financial Services Inc Pfd F
AFSIP.OB	Amtrust Financial Services Dep Pfd
AFTC.OB	Alternative Fuel Tec
AFTM.OB	Aftermaster Inc
AFTPF.OB	Afterpay Touch Group Ltd
AFTPY.OB	Afterpay Ltd
AFYG.OB	Affinity Gold Corp
AGATF.OB	Deutsche Bank Agriculture Double Short ETN Due 4
AGAUF.OB	Arizona Gold Corp
AGCBF.OB	Amarillo Gold Corpor
AGCCF.OB	Gensource Potash
AGCZ.OB	Andes Gold Corp
AGDXF.OB	Antioqua Gold Inc
AGDY.OB	Agri-Dynamics Inc
AGEEF.OB	Halo Collective Inc
AGESY.OB	Ageas N.V. Ads
AGFAF.OB	Agraflora Organics Intl Inc
AGFMF.OB	AGF Management Ltd
AGFXF.OB	DB Agriculture Long ETN Due April 1 2038
AGGFF.OB	African Gold Gr
AGGG.OB	Antilia Group Corp
AGGHF.OB	Agrios Global Holdings Ltd
AGGI.OB	Allied Energy Inc
AGGL.OB	Agtech Global International Inc
AGGZF.OB	Ag Growth Inc Fd
AGHC.OB	Aeon Global Health Corp
AGIN.OB	American Graphite Technologies Inc
AGLAF.OB	Aguila American Gold
AGLDF.OB	Austral Gold Ltd
AGLNF.OB	Agl Energy
AGLXY.OB	Agl Energy Ltd ADR
AGLY.OB	Agiliti Inc
AGMJF.OB	Algoma Cent Corp [F]
AGNMF.OB	Argonomics Ltd
AGNPF.OB	Algernon Pharmaceuticals Inc
AGOAF.OB	Abengoa S.A.
AGOL.OB	Andina Gold Corp
AGOWF.OB	Abengoa Sa
AGPIF.OB	Anglo Pacific Res Plc Ord
AGPL.OB	Apple Green Holding
AGPPF.OB	Anglo Plati Ord Shs
AGPYF.OB	Agile Property Holdings Ltd
AGPYY.OB	Agile Group Holdings Limited
AGRDF.OB	Auriga Gold Crp Ord
AGRIP.OB	Agribank Fcb Non Cum Pfd Fxd/Fltg Ser A
AGRPY.OB	Absa Group Ltd New A
AGRS.OB	Agristar Inc
AGRUF.OB	Af Gruppen ASA
AGSO.OB	Agrisolar Solutions
AGSVF.OB	Argentum Silver Corp
AGTEF.OB	Agtech Holdings Ltd
AGTK.OB	Agritek Holdings Inc
AGTT.OB	Angstrom Technologies Inc
